id	title	link	price	description	condition	image_link
495	Aircraft Shape Stylish Soft Silicone Band Metal Case Date Day Waterproof Sport White Watch Wristwatch Black 29561 Free Shipping	http://pricetack.com/item/aircraft-shape-stylish-soft-silicone-band-metal-ca-495	18.00 USD	"<p>Quick Overview: The product is a stylish soft silicone band metal case quartz and sport alarm watch, it is fashion, unqiue and attractive</p><p>Product Description: stylish case design band material: soft silicone case material: metal digital sport watch quartz movement stainless steel back case stop watch dial width: 3cm band width: 2.1cm watch length: 25cm</p><p>Package inlcude: wrist watch * 1</p><p>Shipping Information:</p><p>Shipping Terms</p><p>Before you pay, please make sure your address on DHgate matches the address you would like us to ship to. But sometimes international delivery is highly depended on the Courier Company and local customs/duties.</p><p>If you do not receive your item on time, please contact us immediately for further assistance. Thank you for your understanding.</p><p>Shipping Method</p><p>All Countries: China Post Airmail Service, delivery time: 10-20 workdays We also supply with DHL express shipping, but you need pay more money for express shipping. If you need express shipping service, please contact us before order. you can get a 40% discount of DHL express shipping cost if you need.</p><p>Shipping Time: All items will be shipped within the times promised in DHgate list handling time (48 hours) upon receipt of cleared payment. Due to geographical distance, you may not receive the item in an ideal short time, we make sure that you are compensated by our great price, also items are dispatched as quickly as possible.</p>"	used	http://pricetack.com/static/uploads/item.image.a0f5456836abcac9.32393536302e6a7067.jpg
650	Hearts,Skulls and Swords Print Tote Bag	http://pricetack.com/item/heartsskulls-and-swords-print-tote-bag-650	18.00 USD	"<p>* Handmade Tote</p><p>* cotton prints</p><p>* Hearts, Skulls and Swords cotton prints</p><p>* Solid black inside</p><p>* 12"" H x 17"" W</p>"	used	http://pricetack.com/static/uploads/item.image.86dcc7e7b1a15779.736b756c6c73322e6a7067.jpg
186	Sexy Pirate Costume Dress w/ Corset and Hat	http://pricetack.com/item/sexy-pirate-costume-dress-w-corset-and-hat-186	100.00 USD	"<p>Sexy Pirate Costume--Great for Halloween or a costume party. 3 Piece Pirate Costume Set. (color AS SHOWN). 3 piece Pirate Costume includes mini dress - corset and hat. One Size Fits Most.</p>"	used	http://pricetack.com/static/uploads/item.image.868620874975fd5d.323543532d57343136372e6a7067.jpg
253	Gold Round Sequin Tie Accents Handbag	http://pricetack.com/item/gold-round-sequin-tie-accents-handbag-253	28.00 USD	"<p>Gold Round Sequin Tie Accents Handbag. 3 interior pockets. Zipper closure. 16"" x 13"" x 3"".</p>"	used	http://pricetack.com/static/uploads/item.image.a90da1385e5d957f.31303648422d45472d343036362e6a7067.jpg
659	Chicago Bears Cotton Print Tie Bag	http://pricetack.com/item/chicago-bears-cotton-print-tie-bag-659	18.45 USD	"<p>* 13 1/2"" W x 11"" H ( not including straps)</p><p>* 16"" tie handles</p><p>* Inside pocket with Bears print</p><p>* cotton material</p>"	used	http://pricetack.com/static/uploads/item.image.a09be763c6cbf7bd.313138393537353638343335353839343034302e6a7067.jpg
529	Sparkling Denim Tall Hobo Handbag ( Black )	http://pricetack.com/item/sparkling-denim-tall-hobo-handbag-black-529	24.95 USD	"<p>*Detachable shoulder strap included *Zippered top opening *Simulated leather trim *Canvas exterior *Single front pocket *Zippered back pocket *Fully lined interior includes inside zippered pocket and cell phone pouch *Silver toned hardware *Single carrying strap with 12in drop length *Decorative accents</p><p>Approximate Size: 14L x 12H x 5W</p>"	used	http://pricetack.com/static/uploads/item.image.9e2b3444d608cbc8.424d522d3038365f315f5f6c617267652e6a7067.jpg
203	Rhinestone Lizard Brooch	http://pricetack.com/item/rhinestone-lizard-brooch-203	50.00 USD	"<p>Rhinestone Lizard Brooch. As shown. One Size Fits Most.</p>"	used	http://pricetack.com/static/uploads/item.image.a53de4861a8af1d8.313630324a2d573538322e6a7067.jpg
246	Metallic Silver Faux Gem Stones Studded Handbag	http://pricetack.com/item/metallic-silver-faux-gem-stones-studded-handbag-246	20.00 USD	"<p>Metallic Silver Faux Gem Stones Studded Handbag. (color as shown). 4 pockets - 1 handle - studded - zipper closure &amp; buckle style clasp that can hold keys - 1 exterior zippered pocket. 14.5"" x 10"" x 3""</p>"	used	http://pricetack.com/static/uploads/item.image.a49e7259d15c8fc5.31393248422d544f2d3630312d36322e6a7067.jpg
499	Free Shipping Unique Design 29 Binary LED Digital Wrist Watch Multicolor	http://pricetack.com/item/free-shipping-unique-design-29-binary-led-digital--499	12.00 USD	"<p>Quick Overview:</p><p>Black Unique Design 29 LED Digital Wrist Watch owns unique style, and supports time and date display.</p><p>Product Description:</p><p>●  Case Material: Stainless Steel</p><p>●  Case Size: 25 * 40cm</p><p>●  Case Thickness: 0.7cm</p><p>●  Band Material: PU Leather</p><p>●  Band Color: Black</p><p>●  Band Width: 20mm</p><p>●  Band Thickness: 3mm</p><p>●  Band Length: 24cm</p><p>●  Three ATM Waterproof</p><p>●  29 super bright blue LED</p><p>●  Brightness adjustable in 5 stages</p><p>●  Adjustable shining interval</p><p>●  Date, time digital display</p><p>●  sector shape</p><p>●  Battery: 2 * CR2016 button cells, please change the batteries when the light is too dim.</p><p>●  Instructions: Press the button at the side, LED indicate the current time; Press the button again, it shows the date</p><p>●  Stylish, lady &amp; man style</p><p>Shipping Information:</p><p>Shipping Terms</p><p>Before you pay, please make sure your address matches the address you would like us to ship to. But sometimes international delivery is highly depended on the Courier Company and local customs/duties.</p><p>If you do not receive your item on time, please contact us immediately for further assistance. Thank you for your understanding.</p><p>Shipping Method</p><p>All Countries: China Post Airmail Service, delivery time: 10-20 workdays We also supply with DHL express shipping, but you need pay more money for express shipping. If you need express shipping service, please contact us before order. you can get a 40% discount of DHL express shipping cost if you need.</p><p>Shipping Time: All items will be shipped within the times promised in DHgate list handling time (48 hours) upon receipt of cleared payment. Due to geographical distance, you may not receive the item in an ideal short time, we make sure that you are compensated by our great price, also items are dispatched as quickly as possible.</p>"	used	http://pricetack.com/static/uploads/item.image.986cbb96d7099bd7.e5bda9e781afe79aaee5b8a62e6a7067.jpg
212	Stretchy Rhinestone Flying Bird Ring	http://pricetack.com/item/stretchy-rhinestone-flying-bird-ring-212	20.00 USD	"<p>Stretchy Rhinestone Flying Bird Ring. (color as shown). Adjustable.</p>"	used	http://pricetack.com/static/uploads/item.image.94ee06dd12db57a4.3431394a2d5752313037382e6a7067.jpg
